Entity,Attribute,Description,Data Source,Frequency of Update
Well,Well_ID,Unique identifier for the well.,Application Logic,As Needed
Well,Well_Name,"Common, human-readable name.",Energy Component,As Needed
Well,Well_Location,Geographic coordinates.,Geomatic DB,As Needed
Well,Well_Type,"Type of well (e.g., 'Oil', 'Gas', 'Water').",eWIPS,As Needed
Well,Well_Status,"Current operational state (e.g., 'Active', 'Shut-In').",Energy Component,As Needed
Well,Well_Priority,A ranking  to prioritize wells during optimization.,Application Logic,As Needed
Well,Completion_Date,Date the well was completed and ready for production.,eWIPS,As Needed
Well,Flowing_Tubing_Head_Pressure,Real-time pressure at the wellhead.,PI Server,Real-time
Well,Flowing_Tubing_Head_Temperature,Real-time temperature at the wellhead.,PI Server,Real-time
Well,Choke_Setting,Current size of the choke opening.,Energy Component or PI,Monthly
Well,Last_Test_Date,Date of the last official performance test.,Energy Component,Monthly
Well,Last_Test_Oil_Rate,Measured oil rate from the last test (bbl/d).,Energy Component,Monthly
Well,Last_Test_Gas_Rate,Measured gas rate from the last test (Mscf/d).,Energy Component,Monthly
Well,Last_Test_Water_Rate,Measured water rate from the last test (bbl/d).,Energy Component,Monthly
Well,Last_Test_BSW,Basic Sediment & Water percentage from the last test.,Energy Component,Monthly
Well,Last_Test_GOR,Gas-Oil Ratio from the last test.,Energy Component,Monthly
Well,Reservoir_ID,Links to the Reservoir entity it produces from.,,As Needed
Daily_Production,Daily_Production_ID,Unique identifier for the daily record.,Application Logic,Daily
Daily_Production,Well_ID,Links to the Well that is producing.,Application Logic,Daily
Daily_Production,Production_Date,The specific date of the production record.,Application Logic,Daily
Daily_Production,Allocated_Oil_Rate,Calculated or metered oil rate for that day (bbl/d).,Energy Component,Daily
Daily_Production,Allocated_Gas_Rate,Calculated or metered gas rate for that day (Mscf/d).,Energy Component,Daily
Daily_Production,Allocated_Water_Rate,Calculated or metered water rate for that day (bbl/d).,Energy Component,Daily
Daily_Production,Data_Source,"How the rate was determined ('Well Meter', 'Allocation System').",Energy Component,Daily
Performance_Alert,Alert_ID,Unique identifier for each alert.,Application Logic,On Detection
Performance_Alert,Equipment_ID,Links to the equipment that triggered the alert.,Application Logic,On Detection
Performance_Alert,Equipment_Type,"The type of equipment ('Well', 'Pump', 'Compressor', 'Pipeline').",Application Logic,On Detection
Performance_Alert,Alert_Type,"The nature of the alert ('Production Deviance', 'Status Change', 'Threshold Breach').",Application Logic,On Detection
Performance_Alert,Description,"A text summary of the alert (e.g., ""Pump P-101 Tripped"").",Application Logic,On Detection
Performance_Alert,Alert_Timestamp,Exact date and time the alert was generated.,Application Logic,On Detection
Performance_Alert,Status,"Current state of the alert ('New', 'Investigating').",,As Needed
Performance_Alert,Notes,Field for engineer's comments.,,As Needed
Flowline,Flowline_ID,Unique identifier for the flowline.,PI Server,As Needed
Flowline,Source_ID,"The starting point (e.g., Well_ID).",PI Server,As Needed
Flowline,Destination_ID,"The endpoint (e.g., Manifold_ID).",PI server,As Needed
Flowline,Status,"Flowing', 'Shut-In', 'Under Maintenance'.",PI Server,Real-time
